793710053482057,IRO7PYAP0001,PYAP1,Payam Ind.,PYAP,لپيام,گسترش صنايع پيام,IRO7PYAP0008,20190908,4,گسترش صنايع پيام,A,C1,NO,7,32 ,3230,309
796556604064374,IRO3GSMZ0001,GSMZ1,Gheshm Marine,GSMZ,حقشم,دريايي و مهندسي كشتيراني قشم,IRO3GSMZ0005,20180721,2,دريايي و مهندسي كشتيراني قشم,A,Z1,NO,3,61 ,6120,303
823046680072171,IRR1PKRS0101,PKRX1,Pakris Textural-R,PKRS,نپاكح,ح . ريسندگي‌ وبافندگي‌ پاكريس‌,IRR1PKRS0100,20081126,1,ريسندگي‌ وبافندگي‌ پاكريس‌,A,N4,NO,4,17 ,1711,400
831325835570803,IRO7CNAP0001,CNAP1,Namavaran Co.,CNAP,ثنام,س ساختماني ب نام آوران مهندسي,IRO7CNAP0006,20190715,4,س ساختماني ب نام آوران مهندسي,A,P1,NO,7,70 ,7010,309
881618880255065,IRB3SS2499C1,S24Q1,SSI-IJR2-NVN210316,SS24,شستا994,اجاره تامين اجتماعي-نوين991226,IRB3SS2499C9,20180721,2,اجاره شستا-بخش2-نوين13991226,A,Z1,NO,4,69 ,6910,306
912271202750887,IRO1FPRS0001,FPRS1,Pars Carpet,FPRS,نفرش,فرش‌ پارس‌,IRO1FPRS0005,20081126,1,فرش‌ پارس‌,A,N4,NO,4,17 ,1722,300
917857106093847,IRO3HPRZ0001,HPRZ1,Parsian Oil&Gas,HPRZ,حپارسا,توسعه حمل و نقل ريلي پارسيان,IRO3HPRZ0002,20191130,2,توسعه حمل و نقل ريلي پارسيان,A,Z1,NO,3,60 ,6010,303
1010647938388655,IRO7BHPP0001,BHPP1,Behpak Co.,BHPP,بهپاك,صنعتي بهپاك,IRO7BHPP0008,20160417,4,صنعتي بهپاك,A,C1,NO,7,42 ,4214,309
1050751214677134,IRO5PSGS0001,PSGS1,PetroSanat Gameron,PSGS,شگامرن,مجتمع پترو صنعت گامرون,IRO5PSGS0009,20180729,2,مجتمع پترو صنعت گامرون,A,V1,NO,9,44 ,4411,313
1123534346391630,IRX6X28T0006,X28T6,Index Group 28,IDXS,28-محصولات فلزي6,28-محصولات فلزي,IRX6X28T0006,20171212,1,شركت شاخص,I,00,ID,6,X1 ,X1  ,68
1200391996585610,IRO6MELZ97A1,TM121,Melli Mortgage1901,MELZ,تملي710,تسهيلات مسكن ب. ملي-دي97,IRO6MELZ97A0,20190123,2,تسهيلات مسكن بانك ملي ايران,A,Z1,NO,4,59 ,5910,307
1245925241417929,IRO3MSZ91081,MK261,Bank Maskan,MSKZ,تسه9108,امتيازتسهيلات مسكن آبان ماه 91,IRO3MSZ91088,20180721,2,بانك مسكن,A,Z1,NO,4,59 ,5910,303
1314853494617240,IRR1KSAD0101,KSAX1,Saadi Tile-R,KSAD,كسعديح,ح . كاشي‌ سعدي‌,IRR1KSAD0103,20171213,1,كاشي‌ سعدي‌,A,N2,NO,5,49 ,4993,400
1358190916156744,IRO1TAZB0001,TAZB1,Azarbayjan Inv.,TAZB,وآذر,سرمايه‌گذاري‌توسعه‌آذربايجان‌,IRO1TAZB0005,20200126,1,سرمايه‌گذاري‌توسعه‌آذربايجان‌,A,N2,NO,5,70 ,7099,300
1359959101711313,IRO3MSZ92071,MK371,BANK MASKAN,MSKZ,تسه9207,امتياز تسهيلات مسكن مهرماه 92,IRO3MSZ92078,20180721,2,بانك مسكن,A,Z1,NO,4,59 ,5910,303
1518157759350339,IRR1PMET0101,PMEX1,Parsmetal-R,PMET,فمتالح,ح . پارس‌ متال‌,IRR1PMET0102,20090716,1,پارس‌ متال‌,A,N2,NO,5,27 ,2710,400
1625149423498289,IRO3SMBZ0001,SMBZ1,Sina Marine srv,SMBZ,حسينا,توسعه خدمات دريايي وبندري سينا,IRO3SMBZ0000,20190723,2,توسعه خدمات دريايي وبندري سينا,A,Z1,NO,3,60 ,6003,303
1636872440732876,IRB6IK0200B1,IK2Q1,IKCO Sukok M411,IK02,صخود411,ص مرابحه خودرو411 - 3 ماهه 18%,IRB6IK0200B6,20180218,1,ص مرابحه خودرو411 - 3 ماهه 18%,A,N4,NO,9,34 ,3410,208
1650287360153383,IRO1AVAN0001,AVAN1,Avangan,AVAN,فاون,آونگان‌,IRO1AVAN0006,20081126,1,آونگان‌,A,N4,NO,4,28 ,2811,300
1723099959084685,IRR1TKIN0101,TKIX1,Techinco-R,TKIN,رتكوح,ح . كنترل‌خوردگي‌تكين‌كو,IRR1TKIN0102,20200203,1,كنترل‌خوردگي‌تكين‌كو,A,61,NO,5,74 ,7422,400
1771069330721898,IRR7PJHP0101,PJHX1,Jahrom Petro.-R,PJHP,جهرمح,ح.پتروشيمي جهرم,IRR7PJHP0102,20200118,4,پتروشيمي جهرم,A,P1,NO,7,44 ,4411,404
1778142796834142,IRO6MELZ9831,TM171,Melli Mortgage1906,MELZ,تملي803,تسهيلات مسكن ب. ملي-خرداد98,IRO6MELZ9838,20190625,2,تسهيلات مسكن بانك ملي ايران,A,Z1,NO,4,59 ,5910,307
1806692551822666,IRB3AL010251,AL1Q1,AlborzNr.IJR230805,AL01,البرز02,اجاره ريلي البرزنيرو14020514,IRB3AL010258,20180805,2,تجهيزات ناوگان ريلي البرزنيرو,A,Z1,NO,4,69 ,6910,306
1808967844081601,IRO3ZF460001,ZF461,Nosaz Services,ZF46,خدمات نوساز,ساختمان و خدمات نوساز,IRO3ZF460000,20180721,2,ساختمان و خدمات نوساز,A,Z1,NO,5,55 ,5510,303
1811292893243712,IRB1QM040001,QM4Q1,Quotes 04,QM04,مظنه4,مظنه پذيره4- اوراق منفعت دولت,IRB1QM040001,20191215,2,مظنه پذيره نويسي اوراق دولتي4,A,Z1,NO,4,69 ,6946,402
1822787329898392,IRO3CHPZ0001,CHPZ1,Chlor Pars,CHPZ,كلر,كلر پارس,IRO3CHPZ0009,20191231,2,كلر پارس,A,Z1,NO,3,44 ,4411,303
1831214548277647,IRO6MSKZ9831,MZ061,Mortgage Right9803,MSKZ,تسه9803,امتياز تسهيلات مسكن خرداد98,IRO6MSKZ9833,20200108,2,بانك مسكن,A,Z1,NO,4,59 ,5910,307
1852132120586484,IRR1INDM0101,INDX1,Indamin-R,INDM,خكمكح,ح . كمك‌فنرايندامين‌,IRR1INDM0108,20171213,1,كمك‌فنرايندامين‌,A,N2,NO,5,34 ,3430,400
1860384396424573,IRR1SHSI0101,SHSX1,Sina Chem. Ind.-R,SHSI,شسيناح,ح . صنايع‌شيميايي‌سينا,IRR1SHSI0103,20171213,1,صنايع‌شيميايي‌سينا,A,N2,NO,5,44 ,4411,400
